title,genre,director,country,year,imdb_rating
38-я параллель,драма; боевик; военный,Кан Джегю,Республика Корея,2004,8.0
34-й скорый,Фильм-катастрофа; приключенческий фильм; драма,Андрей Малюков,СССР,1981,6.2
36 безумных кулаков,боевик; комедия,Чэнь Чжихуа,Гонконг,1977,5.0
33,драма,Патрисия Ригген,США; Чили; Колумбия,2015,6.9
32-е августа на Земле,"драма; мелодрама; ,",Дени Вильнёв,Канада,1998,6.4
32 декабря,"комедия; фантастика; мелодрама; ,",Александр Муратов,Россия,2004,4.9
31-й километр,"ужасы; мистика; ,",Ригоберто Кастаньеда,Мексика; Испания,2006,5.3
31 июня,"музыкальный фильм; мюзикл; фэнтези; (; ),",Леонид Квинихидзе,СССР,1978,7.2
31,Фильм ужасов,Роб Зомби,США,2016,5.1
30 свиданий,комедия; мелодрама,Таисия Игуменцева,Россия,2016,5.0
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,комедийный; фильм ужасов,Крэйг Мосс,США,2012,2.6
30 дней ночи,фильм о вампирах,Дэвид Слейд,США,2007,6.6
30 дней до рассвета,фильм ужасов; комедия,Андерс Банке,Швеция,2006,5.5
30 безумных желаний,независимый кинематограф,Питер Хатчингс,США,2018,6.9
29-я улица,комедия; драма,Джордж Галло,США,1991,7.2
29 пальм,драма; роуд-муви,Брюно Дюмон,Франция; Германия; США,2003,5.1
29 километр,"драма; музыкальный фильм; ,",Леонид Андронов,Россия,2012,8.7
28 недель спустя,постапокалиптический; фильм ужасов,Хуан Карлос Фреснадильо,2; Великобритания; США; Испания,2007,6.8
28 лет спустя,постапокалиптический; фильм ужасов,Дэнни Бойл,Великобритания; США,2025,6.6
28 дней спустя,постапокалиптический; фильм ужасов,Дэнни Бойл,Великобритания,2002,7.5
28 дней,"драма; комедия; ,",Бетти Томас,США,2000,6.1
27-й день,научная фантастика,Уильям Эшер,США,1957,6.1
